Name	Description	ALL_1	ALL_2	ALL_3	ALL_4	ALL_5	ALL_6	ALL_7	ALL_8	ALL_9	ALL_10	ALL_11	ALL_12	ALL_13	ALL_14	ALL_15	ALL_16	ALL_17	ALL_18	ALL_19	ALL_20	MLL__1	MLL__2	MLL__3	MLL__4	MLL__5	MLL__6	MLL__7	MLL__8	MLL_9	MLL_10	MLL_11	MLL_12	MLL_13	MLL_14	MLL_15	MLL_16	MLL_17	AML_1	AML_2	AML_4	AML_5	AML_6	AML_7	AML_8	AML_10	AML_11	AML_12	AML_14	AML_15	AML_16	AML_17	AML_18	AML_19	AML_20	AML_21	AML_22	AML_23
AFFX-LysX-3_at	AFFX-LysX-3_at (spiked control)	-0.865483976	-0.708029962	-0.820862479	-0.458164063	-0.757956198	-0.9870318	-0.966971251	-1.013582666	-0.649577165	-0.354337506	-1.024044009	-0.910647646	-0.99727367	-0.357469525	-0.306048875	-0.50330741	-0.665701782	-0.873874339	-0.534003523	-0.24155232	-0.687520512	-0.885563384	-0.366647544	-0.886900476	-0.8335883	-0.859984288	-0.946953138	-0.419403145	-0.708599409	-1.095228112	-0.797348531	-0.760431342	-0.474451519	-0.888480647	-0.510696045	-0.414021003	-1.092759101	-0.786570167	-0.155488178	-0.329624144	-0.028291137	-0.649524709	-0.348811498	-0.569854593	-0.484028965	-0.956245827	-0.362919086	-0.609843869	-0.170689069	-0.370162863	-0.543049142	-0.921081378	-0.461181497	-0.340875378	-0.744180914	-0.456002497	-0.590548681
AFFX-PheX-5_at	AFFX-PheX-5_at (spiked control)	-0.966654289	-1.005580911	-0.820862479	-0.843015226	-1.017257177	-0.9870318	-0.966971251	-1.013582666	-0.944018262	-1.020609349	-1.024044009	-0.910647646	-0.99727367	-1.023973506	-0.863248129	-0.905110107	-0.915002328	-0.873874339	-0.995339833	-1.025794932	-0.933654547	-0.885563384	-1.001932033	-0.886900476	-0.8335883	-0.859984288	-0.946953138	-0.896040255	-0.811558149	-1.095228112	-0.797348531	-1.01553925	-0.971348069	-0.888480647	-0.968397797	-1.041748748	-1.092759101	-0.978370136	-0.865556272	-0.858347886	-0.83662019	-0.871908561	-0.9226912	-0.821108085	-1.056856783	-0.956245827	-0.994496532	-0.868394122	-0.886994652	-0.964054855	-0.896893087	-0.921081378	-1.035429283	-0.911768906	-0.841055646	-0.984662221	-1.010273351
AFFX-PheX-M_at	AFFX-PheX-M_at (spiked control)	-0.966654289	-1.005580911	-0.820862479	-0.843015226	-1.017257177	-0.9870318	-0.966971251	-1.013582666	-0.944018262	-1.020609349	-1.024044009	-0.910647646	-0.99727367	-1.023973506	-0.863248129	-0.905110107	-0.915002328	-0.873874339	-0.995339833	-1.025794932	-0.933654547	-0.885563384	-1.001932033	-0.886900476	-0.8335883	-0.859984288	-0.946953138	-0.896040255	-0.811558149	-1.095228112	-0.797348531	-1.01553925	-0.971348069	-0.888480647	-0.968397797	-1.041748748	-1.092759101	-0.978370136	-0.865556272	-0.858347886	-0.83662019	-0.871908561	-0.9226912	-0.821108085	-1.056856783	-0.956245827	-0.994496532	-0.868394122	-0.886994652	-0.964054855	-0.896893087	-0.921081378	-1.035429283	-0.911768906	-0.841055646	-0.984662221	-1.010273351
AFFX-PheX-3_at	AFFX-PheX-3_at (spiked control)	-0.966654289	-0.639216788	-0.820862479	-0.45103616	-0.559666962	-0.543541867	-0.383976901	-0.315133977	-0.205070484	-1.020609349	-0.685845502	-0.473121081	-0.99727367	-0.217660722	0.157578611	-0.79438932	-0.701912227	-0.873874339	-0.366472196	-0.468498031	-0.933654547	-0.885563384	-1.001932033	-0.645953875	-0.390287646	-0.759037858	-0.946953138	-0.896040255	-0.811558149	-1.088917979	-0.797348531	-0.857270233	-0.589791654	-0.888480647	-0.701202112	-1.041748748	-1.092759101	-0.978370136	-0.865556272	-0.858347886	-0.83662019	-0.871908561	-0.9226912	-0.821108085	-1.056856783	-0.956245827	-0.994496532	-0.868394122	-0.886994652	-0.964054855	-0.896893087	-0.74934598	-1.035429283	-0.824652882	-0.841055646	-0.984662221	-1.010273351
AFFX-ThrX-5_at	AFFX-ThrX-5_at (spiked control)	-0.966654289	-1.005580911	-0.547688328	-0.843015226	-1.017257177	-0.850750063	-0.966971251	-1.013582666	-0.944018262	-0.431951804	-1.024044009	-0.910647646	-0.99727367	-1.023973506	-0.53737661	-0.905110107	-0.915002328	-0.873874339	-0.995339833	-1.025794932	-0.933654547	-0.885563384	-1.001932033	-0.886900476	-0.8335883	-0.859984288	-0.946953138	-0.896040255	-0.811558149	-1.095228112	-0.797348531	-1.01553925	-0.971348069	-0.888480647	-0.968397797	-1.041748748	-1.092759101	-0.978370136	-0.865556272	-0.73438426	-0.83662019	-0.871908561	-0.9226912	-0.821108085	-1.056856783	-0.956245827	-0.994496532	-0.868394122	-0.886994652	-0.964054855	-0.896893087	-0.921081378	-0.814726443	-0.911768906	-0.841055646	-0.984662221	-1.010273351
AFFX-ThrX-M_at	AFFX-ThrX-M_at (spiked control)	-0.966654289	-1.005580911	-0.820862479	-0.843015226	-1.017257177	-0.9870318	-0.966971251	-1.013582666	-0.944018262	-1.020609349	-0.838137597	-0.910647646	-0.99727367	-1.023973506	-0.863248129	-0.905110107	-0.915002328	-0.873874339	-0.995339833	-1.025794932	-0.933654547	-0.885563384	-1.001932033	-0.886900476	-0.8335883	-0.859984288	-0.946953138	-0.896040255	-0.811558149	-1.095228112	-0.797348531	-1.01553925	-0.971348069	-0.888480647	-0.968397797	-1.041748748	-1.092759101	-0.978370136	-0.865556272	-0.858347886	-0.83662019	-0.871908561	-0.9226912	-0.821108085	-1.056856783	-0.956245827	-0.994496532	-0.868394122	-0.886994652	-0.964054855	-0.740944544	-0.921081378	-1.035429283	-0.911768906	-0.841055646	-0.984662221	-1.010273351
AFFX-ThrX-3_at	AFFX-ThrX-3_at (spiked control)	-0.966654289	-1.005580911	-0.820862479	-0.843015226	-1.017257177	-0.9870318	-0.966971251	-1.013582666	-0.944018262	-1.020609349	-1.024044009	-0.910647646	-0.99727367	-1.023973506	-0.863248129	-0.905110107	-0.915002328	-0.873874339	-0.995339833	-1.025794932	-0.933654547	-0.885563384	-1.001932033	-0.886900476	-0.8335883	-0.859984288	-0.946953138	-0.896040255	-0.811558149	-1.095228112	-0.797348531	-1.01553925	-0.971348069	-0.888480647	-0.968397797	-1.041748748	-1.092759101	-0.978370136	-0.865556272	-0.858347886	-0.83662019	-0.871908561	-0.9226912	-0.821108085	-1.056856783	-0.956245827	-0.994496532	-0.868394122	-0.886994652	-0.964054855	-0.896893087	-0.921081378	-1.035429283	-0.911768906	-0.841055646	-0.984662221	-1.010273351
AFFX-TrpnX-5_at	AFFX-TrpnX-5_at (spiked control)	-0.966654289	-1.005580911	-0.820862479	-0.602006972	-1.017257177	-0.903270375	-0.966971251	-0.885161904	-0.944018262	-1.020609349	-0.626541555	-0.910647646	-0.712832359	-1.023973506	-0.447410136	-0.905110107	-0.915002328	-0.873874339	-0.995339833	-1.025794932	-0.791197535	-0.885563384	-1.001932033	-0.640997935	-0.8335883	-0.859984288	-0.746955501	-0.896040255	-0.811558149	-1.095228112	-0.797348531	-1.01553925	-0.781364227	-0.669687564	-0.968397797	-1.041748748	-0.96210852	-0.978370136	-0.858008508	-0.858347886	-0.83662019	-0.871908561	-0.9226912	-0.821108085	-1.056856783	-0.956245827	-0.994496532	-0.868394122	-0.542910225	-0.567195374	-0.896893087	-0.921081378	-1.035429283	-0.911768906	-0.841055646	-0.74879662	-0.976689238
AFFX-TrpnX-M_at	AFFX-TrpnX-M_at (spiked control)	-0.966654289	-1.005580911	-0.820862479	-0.843015226	-1.017257177	-0.9870318	-0.966971251	-1.013582666	-0.944018262	-1.020609349	-1.024044009	-0.910647646	-0.99727367	-1.023973506	-0.863248129	-0.905110107	-0.915002328	-0.873874339	-0.995339833	-1.025794932	-0.933654547	-0.885563384	-1.001932033	-0.886900476	-0.8335883	-0.859984288	-0.946953138	-0.896040255	-0.811558149	-1.095228112	-0.797348531	-1.01553925	-0.971348069	-0.888480647	-0.968397797	-1.041748748	-1.092759101	-0.978370136	-0.865556272	-0.858347886	-0.83662019	-0.871908561	-0.9226912	-0.821108085	-1.056856783	-0.956245827	-0.994496532	-0.868394122	-0.886994652	-0.964054855	-0.896893087	-0.921081378	-1.035429283	-0.911768906	-0.841055646	-0.984662221	-1.010273351
AFFX-TrpnX-3_at	AFFX-TrpnX-3_at (spiked control)	-0.966654289	-1.005580911	-0.820862479	-0.843015226	-1.017257177	-0.9870318	-0.966971251	-1.013582666	-0.944018262	-1.020609349	-1.024044009	-0.910647646	-0.99727367	-1.023973506	-0.863248129	-0.905110107	-0.915002328	-0.873874339	-0.995339833	-1.025794932	-0.933654547	-0.885563384	-1.001932033	-0.886900476	-0.8335883	-0.859984288	-0.946953138	-0.896040255	-0.811558149	-1.095228112	-0.797348531	-1.01553925	-0.971348069	-0.888480647	-0.968397797	-1.041748748	-1.092759101	-0.978370136	-0.865556272	-0.858347886	-0.83662019	-0.871908561	-0.9226912	-0.821108085	-1.056856783	-0.956245827	-0.994496532	-0.868394122	-0.886994652	-0.964054855	-0.896893087	-0.921081378	-1.035429283	-0.911768906	-0.841055646	-0.984662221	-1.010273351
AFFX-HUMISGF3A/M97935_5_at	AFFX-HUMISGF3A/M97935_5_at (endogenous control)	0.397236557	-0.64285216	-0.820862479	-0.843015226	0.441801783	-0.9870318	-0.966971251	-1.013582666	-0.944018262	-1.020609349	-1.024044009	-0.910647646	0.458924845	-1.023973506	-0.863248129	-0.905110107	-0.701912227	-0.873874339	-0.995339833	0.505716541	-0.933654547	-0.829625572	-1.001932033	-0.886900476	-0.8335883	-0.859984288	-0.946953138	-0.896040255	-0.811558149	-1.095228112	-0.797348531	-1.01553925	-0.971348069	-0.888480647	-0.824264712	-1.041748748	-0.458925249	-0.978370136	-0.58895839	-0.858347886	-0.74291732	0.693440419	-0.9226912	-0.821108085	-1.056856783	-0.956245827	-0.691425269	-0.54232745	-0.455973834	-0.039815735	1.304611046	0.599463748	0.107347581	-0.102046723	-0.787710794	0.74753679	-0.708605932
AFFX-HUMISGF3A/M97935_MA_at	AFFX-HUMISGF3A/M97935_MA_at (endogenous control)	1.103286688	0.560413222	-0.820862479	-0.843015226	1.405589195	-0.413227151	0.084826335	0.061195747	-0.264026008	-0.23786903	-0.408717515	-0.518835723	1.450190501	-0.212052736	0.264494919	-0.664236388	0.288213847	-0.873874339	0.832263308	1.359474882	-0.933654547	-0.046993383	0.103783631	0.371927039	-0.8335883	-0.859984288	-0.023748454	-0.592522032	-0.811558149	-0.472430088	-0.752577086	-0.458281538	-0.897781775	-0.715500795	-0.968397797	-1.041748748	0.537097562	0.146099692	-0.132056382	-0.858347886	0.295816283	1.683428872	0.145553881	-0.821108085	-0.405307479	-0.956245827	0.097526881	-0.868394122	0.821976236	0.195349085	1.872457519	1.232451211	0.580131936	0.513427314	-0.841055646	1.684587727	0.136372256
AFFX-HUMISGF3A/M97935_MB_at	AFFX-HUMISGF3A/M97935_MB_at (endogenous control)	1.187408969	0.861707494	-0.082327773	0.110588827	1.553637826	0.360162544	0.437200203	0.30503097	0.166334607	0.418434611	0.333971269	0.988099375	1.633952187	-0.230937428	0.479652809	0.813015821	0.529414156	0.299682904	1.569646929	1.405629512	-0.079474298	0.206032474	0.383154833	0.757340257	-0.199834451	-0.103532911	0.655838364	-0.143566255	-0.811558149	-0.194275129	-0.121479325	0.035446538	0.270134774	-0.764628616	-0.259636697	-0.164312119	0.637037182	0.27023435	0.20843079	-0.063669145	0.777529973	1.811620775	0.470138451	-0.821108085	0.328927887	-0.223965423	0.613554051	-0.014165169	0.884144269	0.101069354	1.918432561	1.31312244	0.391804487	0.839990777	-0.364081319	1.474760165	0.528420604
AFFX-HUMISGF3A/M97935_3_at	AFFX-HUMISGF3A/M97935_3_at (endogenous control)	1.870046298	1.58204579	0.693181742	1.282158125	1.988767644	1.038105577	1.2711307	1.167254424	1.003932319	1.091647367	1.101641978	1.68857575	2.125618647	0.988636772	1.279148162	1.705684523	1.165315651	1.513924338	2.126997385	2.053055473	0.873510427	1.12873603	1.294343928	1.663448717	0.503862207	0.812442326	1.419130618	0.725600782	0.501843884	0.925439462	0.527725688	0.727209729	0.805325849	1.356909529	0.888507619	0.440402857	1.243202992	0.504842915	0.687709051	0.892589147	1.092431494	2.205510794	1.000445189	1.417993835	0.966688566	0.405152848	1.235426393	0.420756556	1.093633244	0.640396212	2.257282985	1.443533776	1.094047404	1.096404025	0.923356429	1.888719657	1.118658288
AFFX-HUMRGE/M10098_5_at	AFFX-HUMRGE/M10098_5_at (endogenous control)	-0.966654289	-1.005580911	0.251171014	-0.843015226	-1.017257177	-0.9870318	-0.966971251	0.244332166	-0.944018262	-1.020609349	-1.024044009	-0.542875849	-0.896447926	-1.023973506	-0.863248129	-0.905110107	-0.915002328	-0.873874339	-0.995339833	-1.025794932	-0.08346359	-0.885563384	-1.001932033	-0.886900476	-0.8335883	2.805682276	-0.946953138	-0.896040255	-0.457114178	-1.095228112	1.482628594	-0.201312303	-0.971348069	-0.888480647	-0.477682504	-1.041748748	-1.092759101	-0.545254342	-0.217444567	-0.858347886	-0.83662019	-0.871908561	-0.9226912	-0.821108085	-1.056856783	-0.956245827	-0.994496532	-0.68994767	0.579909927	0.840399726	-0.464516867	-0.921081378	-1.035429283	-0.124044243	-0.841055646	-0.47207992	0.192568815
AFFX-HUMRGE/M10098_M_at	AFFX-HUMRGE/M10098_M_at (endogenous control)	-0.966654289	-1.005580911	-0.181413995	-0.843015226	-1.017257177	-0.9870318	-0.966971251	-1.013582666	-0.944018262	-1.020609349	-1.024044009	-0.910647646	-0.99727367	-1.023973506	-0.863248129	-0.905110107	-0.915002328	-0.873874339	-0.995339833	-1.025794932	-0.093539188	-0.885563384	-1.001932033	-0.886900476	-0.8335883	2.572725515	-0.946953138	-0.896040255	-0.811558149	-1.095228112	1.2281967	-1.01553925	-0.971348069	-0.888480647	-0.968397797	-1.041748748	-1.092759101	-0.978370136	-0.865556272	-0.858347886	-0.83662019	-0.871908561	-0.9226912	-0.821108085	-1.056856783	-0.956245827	-0.994496532	-0.868394122	-0.886994652	-0.964054855	-0.896893087	-0.921081378	-1.035429283	-0.911768906	-0.841055646	-0.984662221	-1.010273351
AFFX-HUMRGE/M10098_3_at	AFFX-HUMRGE/M10098_3_at (endogenous control)	-0.966654289	-1.005580911	0.131559459	-0.843015226	-1.017257177	-0.9870318	-0.966971251	-1.013582666	-0.944018262	-1.020609349	-1.024044009	-0.910647646	-0.99727367	-1.023973506	-0.863248129	-0.905110107	-0.915002328	-0.873874339	-0.995339833	-1.025794932	-0.360487282	-0.885563384	-1.001932033	-0.886900476	-0.8335883	1.632081594	-0.946953138	-0.896040255	0.325394699	-1.095228112	1.443300131	-1.01553925	-0.971348069	-0.888480647	-0.968397797	-1.041748748	-1.092759101	-0.978370136	-0.865556272	-0.858347886	-0.83662019	-0.871908561	-0.9226912	-0.821108085	-1.056856783	-0.956245827	-0.994496532	-0.868394122	-0.886994652	-0.964054855	-0.896893087	-0.921081378	-1.035429283	-0.911768906	-0.841055646	-0.984662221	-1.010273351
AFFX-HUMGAPDH/M33197_5_at	AFFX-HUMGAPDH/M33197_5_at (endogenous control)	2.575264081	2.250860787	3.055305686	0.724604206	2.460202743	2.413900763	2.472658092	2.208369185	1.068306719	1.561278197	1.661978624	0.667697797	2.450429843	1.823024024	2.479923816	0.441880532	2.369106376	0.643021663	1.576829011	2.443055568	2.558831505	2.803239592	2.41385254	2.672128987	0.22677748	2.805682276	2.61229552	2.726166676	1.331406821	2.123260342	3.102207397	2.345071522	2.32315527	0.368253749	2.432168264	2.390443842	2.110279648	2.626520071	2.984186878	2.758352242	3.054457904	2.713219142	2.538160516	0.301502927	2.36277218	2.568754577	2.415440238	2.800270215	2.732809704	2.52898046	2.414445822	2.725468274	2.293538624	2.462533406	2.676755375	2.499315632	2.483160447
AFFX-HUMGAPDH/M33197_M_at	AFFX-HUMGAPDH/M33197_M_at (endogenous control)	2.564277875	2.250860787	3.055305686	2.033423499	2.460202743	2.491220741	2.530970179	2.405557278	2.400809768	2.278196558	2.251378913	1.879768098	2.450429843	2.250662848	2.479923816	1.722825017	2.369106376	2.019540373	2.295442221	2.443055568	2.558831505	2.803239592	2.41385254	2.672128987	1.096110441	2.805682276	2.61229552	2.726166676	1.425725951	2.123260342	3.102207397	2.345071522	2.32315527	-0.27976315	2.432168264	2.390443842	2.110279648	2.626520071	2.984186878	2.758352242	3.054457904	2.713219142	2.538160516	-0.821108085	2.36277218	2.568754577	2.415440238	2.800270215	2.732809704	2.52898046	2.414445822	2.725468274	2.293538624	2.462533406	2.676755375	2.499315632	2.483160447
AFFX-HUMGAPDH/M33197_3_at	AFFX-HUMGAPDH/M33197_3_at (endogenous control)	2.575264081	2.250860787	3.055305686	2.448908211	2.460202743	2.491220741	2.530970179	2.405557278	2.62489232	2.298283821	2.284430823	2.606891783	2.450429843	2.272796886	2.479923816	2.325223647	2.369106376	2.583359507	2.358399621	2.443055568	2.558831505	2.803239592	2.41385254	2.672128987	2.58809904	2.805682276	2.61229552	2.726166676	3.176386854	2.123260342	3.102207397	2.345071522	2.32315527	2.559112687	2.432168264	2.390443842	2.110279648	2.626520071	2.984186878	2.758352242	3.054457904	2.713219142	2.538160516	2.675886911	2.36277218	2.568754577	2.415440238	2.800270215	2.732809704	2.52898046	2.414445822	2.725468274	2.293538624	2.462533406	2.676755375	2.499315632	2.483160447
AFFX-HSAC07/X00351_5_at	AFFX-HSAC07/X00351_5_at (endogenous control)	2.575264081	2.250860787	2.261372771	1.142786611	2.460202743	2.491220741	2.530970179	2.405557278	1.934694882	1.798949971	2.099711407	1.141323154	2.450429843	2.171985496	2.479923816	0.541747426	2.369106376	1.004099139	1.991637321	2.443055568	2.558831505	2.803239592	2.41385254	2.672128987	0.825244989	2.805682276	2.61229552	2.69185517	1.208134829	2.123260342	2.899449597	2.345071522	2.32315527	0.944285419	2.432168264	2.390443842	2.110279648	2.626520071	2.984186878	2.758352242	3.054457904	2.713219142	2.538160516	0.519700782	2.36277218	2.568754577	2.415440238	2.800270215	2.732809704	2.52898046	2.414445822	2.725468274	2.293538624	2.462533406	2.191175792	2.499315632	2.483160447
