probe set	AA1521m99hpp_av06	AA1521n99hpp_av06	AA1521o99hpp_av06	AA1521p99hpp_av06	AA1521q99hpp_av06	AA1521r99hpp_av06	AA1521s99hpp_av06	AA1521t99hpp_av06
AFFX-HUMRGE/M10098_3_at	809.764	802.054	758.818	800.086	787.361	784.025	754.672	877.042
AFFX-HUMGAPDH/M33197_5_at	308.353	321.334	319.68	324.712	302.253	316.209	338.889	322.064
AFFX-HUMGAPDH/M33197_M_at	1108.839	1145.09	1082.434	1143.935	1124.022	1125.065	1014.009	1172.069
AFFX-HUMGAPDH/M33197_3_at	804.239	870.83	848.679	853.183	850.635	819.301	828.29	844.549
AFFX-HSAC07/X00351_5_at	1025.579	906.468	955.062	893.873	996.718	966.379	965.036	1016.993
AFFX-HSAC07/X00351_M_at	913.155	913.115	896.229	961.651	938.43	861.764	979.074	912.995
AFFX-HSAC07/X00351_3_at	922.174	1023.447	1035.921	1021.169	983.014	924.881	998.648	953.356
AFFX-HUMTFRR/M11507_5_at	95.397	94.592	103.345	94.56	99.651	104.409	86.552	95.512
AFFX-HUMTFRR/M11507_M_at	111.618	93.566	102.375	99.872	119.413	109.203	94.537	116.387
AFFX-HUMTFRR/M11507_3_at	153.054	156.823	142.056	151.445	140.926	155.627	136.144	161.438
AFFX-M27830_5_at	415.858	441.13	396.551	391.93	391.501	401.436	405.274	429.352
AFFX-M27830_M_at	808.468	818.478	785.362	790.259	828.815	802.523	775.659	831.404
AFFX-M27830_3_at	428.531	412.051	416.598	379.859	495.346	494.123	394.226	454.71
AFFX-HSAC07/X00351_3_st	114.999	113.01	107.005	110.528	109.253	104.837	106.385	110.483
AFFX-HUMGAPDH/M33197_5_st	95.536	98.567	101.147	92.324	97.185	98.589	84.807	89.1
AFFX-HUMGAPDH/M33197_M_st	109.921	109.874	112.014	107.407	108.794	107.233	108.636	105.886
AFFX-HUMGAPDH/M33197_3_st	136.035	128.246	139.38	129.741	152.41	147.508	144.022	146.637
AFFX-HSAC07/X00351_5_st	187.613	186.432	190.297	173.596	179.99	172.047	195.758	161.56
AFFX-HSAC07/X00351_M_st	97.895	104.405	103.777	100.819	97.847	100.637	94.853	95.096
AFFX-YEL002c/WBP1_at	35.184	30.479	29.167	32.51	28.985	34.539	32.211	35.932
AFFX-YEL018w/_at	28.98	24.173	24.713	26.349	30.346	30.42	27.048	26.343
AFFX-YEL024w/RIP1_at	86.578	79.457	90.195	86.43	110.239	90.717	90.074	88.112
AFFX-YEL021w/URA3_at	108.378	92.488	102.947	98.881	112.266	107.368	125.509	104.724
31307_at	47.157	44.919	39.908	41.594	52.091	56.579	44.67	56.35
31308_at	191.837	173.514	162.753	168.131	200.941	185.953	169.96	202.167
31309_r_at	56.215	60.924	56.355	71.415	64.134	59.156	72.24	58.413
31310_at	38.98	32.973	32.828	39.593	41.215	37.792	34.19	42.709
31311_at	174.741	166.622	164.964	161.046	182.469	185.747	176.639	187.978
31312_at	140.306	133.431	139.068	128.556	132.084	140.801	127.618	154.84
31313_at	131.732	110.38	105.08	103.105	131.494	124.156	120.793	123.376
31314_at	102.859	82.864	72.668	79.194	89.95	85.712	93.303	102.401
31315_at	144.815	139.888	139.042	141.189	140.04	136.401	135.332	140.281
31316_at	11.161	12.587	11.157	14.981	10.187	11.905	12.693	14.636
31317_r_at	482.374	458.572	478.196	447.75	489.774	483.063	452.325	480.29
31318_at	23.548	22.571	18.846	19.623	22.754	22.854	25.86	20.068
31319_at	192.604	180.116	172.028	175.77	166.755	173.238	177.242	186.404
31320_at	567.006	525.683	523.93	513.182	510.68	530.701	526.831	568.457
31321_at	156.282	141.887	139.895	133.144	163.226	159.089	135.385	159.939
31322_at	47.949	44.018	44.794	48.269	53.644	53.319	52.402	50.702
31323_r_at	135.646	141.162	146.08	145.579	151.32	137.611	152.715	135.221
31324_at	287.535	287.774	294.489	246.158	284.783	297.199	225.409	269.482
31325_at	169.552	175.729	171.531	186.134	174.059	172.485	184.436	192.162
31326_at	647.639	669.052	614.088	674.574	643.099	682.464	628.526	661.995
31327_at	37.035	30.322	32.635	33.509	35.425	24.813	35.372	30.37
31328_at	188.848	161.684	151.699	150.846	166.748	165.1	148.679	180.983
31329_at	20.871	20.278	20.982	21.771	22.291	23.055	23.643	17.484
31330_at	1543.99	1780.784	1606.533	1711.414	1554.314	1558.82	1676.963	1623.808
31331_at	42.619	37.268	38.958	36.554	33.605	36.658	37.547	37.252
31332_at	41.07	34.038	37.782	34.608	40.001	44.158	40.864	34.002
31333_at	55.983	49.47	55.518	57.296	59.603	52.846	59.513	57.812
31334_at	37.742	42.213	41.59	47.708	45.329	40.154	48.292	47.001
31335_at	56.156	45.704	43.868	44.348	50.809	58.686	43.183	52.642
31336_at	32.703	41.148	33.86	36.899	37.939	34.733	39.33	37.988
31337_at	568.158	556.122	523.667	509.491	491.491	515.945	539.638	537.754
31338_at	38.362	48.852	49.621	50.545	45.778	53.557	54.852	48.656
31339_at	102.123	112.1	131.124	134.195	121.036	116.705	153.667	122.351
31340_at	39.693	40.556	40.178	38.878	41.816	48.756	41.489	44.123
31341_at	92.468	92.312	96.46	79.946	88.1	92.536	88.404	87.857
31342_at	145.7	152.008	137.669	140.494	139.441	153.659	125.1	155.85
31343_at	30.347	32.186	28.552	38.788	31.711	33.317	39.527	35.537
31344_at	90.997	81.072	83.78	87.214	84.705	85.707	84.024	86.161
31345_at	25.928	22.513	26.052	24.739	26.786	24.607	28.882	24.149
31346_at	218.571	193.75	195.729	180.749	189.282	193.909	188.886	201.208
31347_at	80.815	82.589	75.357	68.621	74.703	75.407	73.156	71.868
31348_at	46.811	40.299	45.049	50.904	46.886	42.854	54.211	47.489
31349_at	143.616	117.798	128.395	126.792	136.133	142.689	120.284	124.956
31350_at	482.534	470.184	443.525	447.131	442.761	411.68	460.58	407.362
31351_at	105.001	113.375	117.165	108.856	101.752	112.324	104.488	103.834
31352_at	45.564	44.159	49.161	43.385	49.934	47.042	47.26	41.49
31353_f_at	174.396	199.898	199.858	197.884	218.701	206.646	192.281	210.89
31354_r_at	207.816	192.788	189.882	162.866	181.573	201.196	186.175	190.158
31355_at	167.224	146.691	143.208	144.903	129.232	132.399	150.855	130.842
31356_at	169.036	149.081	155.7	149.44	159.316	154.391	151.156	158.543
31357_at	75.194	72.566	74.623	73.8	90.437	83.65	62.86	73.68
31358_at	67.79	77.167	68.85	76.67	68.701	73.054	73.148	77.667
31359_at	10.488	17.606	14.765	17.249	14.495	14.5	16.366	13.134
31360_at	29.765	29.738	31.027	33.973	40.568	40.293	28.076	33.652
31361_at	31.261	32.733	29.916	30.903	25.771	30.851	32.938	29.411
31362_at	202.138	151.545	159.962	165.041	193.192	185.291	169.013	196.333
31363_at	148.592	133.171	126.622	135.336	134.961	147.233	129.133	141.352
31364_i_at	92.803	95.447	94.278	101.684	99.171	98.373	101.436	88.936
31365_f_at	48.396	46.766	42.079	49.121	49.923	51.519	44.75	51.138
31366_at	88.031	88.043	86.76	85.485	83.162	80.795	84.926	86.725
31367_at	127.004	114.998	104.809	102.841	114.298	110.196	109.109	110.173
31368_at	50.801	40.692	44.294	40.48	45.229	47.404	39.227	50.773
31369_at	76.326	70.183	73.005	68.263	69.406	76.281	66.065	72.191
31370_at	41.827	45.835	41.08	47.488	18.232	18.463	25.419	22.408
31371_at	36.454	31.524	39.508	34.382	35.12	35.242	35.548	37.539
31372_at	189.183	196.515	201.498	200.078	184.282	182.235	205.027	193.644
31373_at	60.729	55.652	50.673	50.199	53.991	53.739	44.927	52.408
31374_at	115.902	107.884	107.856	105.407	111.155	111.27	98.947	118.709
31375_at	201.743	194.909	212.121	182.672	190.995	204.102	179.829	194.833
31376_at	54.113	41.665	44.185	46.618	55.578	54.218	54.786	54.094
31377_r_at	46.812	35.702	36.458	34.284	38.343	37.456	35.24	37.95
31378_at	117.77	117.569	120.078	111.942	116.706	117.098	122.151	123.882
31379_at	92.488	81.84	75.596	73.711	88.623	94.117	74.132	92.59
31380_at	101.297	94.225	84.802	82.714	92.113	98.668	90.184	98.157
31381_at	100.04	88.009	99.751	87.372	98.201	95.015	99.05	100.038
31382_f_at	76.824	69.259	61.938	70.216	71.942	70.756	76.816	74.281
31383_at	19.795	21.972	16.68	20.41	23.767	24.197	22.783	19.528
31384_at	175.69	156.496	150.873	140.068	156.01	152.133	155.348	167.687
31385_at	1401.499	1749.814	1583.736	1737.364	1427.575	1449.088	1663.118	1499.544
31386_at	178.102	174.224	175.686	170.433	183.11	191.643	164.528	171.92
31387_at	160.9	148.064	151.489	144.416	149.028	147.095	145.49	141.696
31388_at	35.716	29.605	25.891	31.204	33.696	29.474	32.243	31.616
31389_at	42.874	39.385	37.839	35.718	43.376	44.641	41.351	42.365
31390_at	14.893	17.642	15.541	15.353	17.109	17.701	17.721	20.418
31391_at	1060.63	1027.472	993.702	1007.658	1072.844	1036.238	1131.542	1045.862
31392_r_at	48.171	42.797	39.169	38.623	46.833	45.665	43.964	51.878
31393_r_at	1941.839	1930.446	1894.295	1911.692	2027.065	2092.586	1867.383	1918.789
31394_at	1116.47	1250.452	1086.278	1129.796	1041.382	1020.311	1046.021	1076.241
31395_i_at	75.005	63.508	63.417	67.171	73.28	64.952	70.894	71.716
31396_r_at	2115.506	1949.539	2086.344	2034.971	2116.369	2227.257	1857.811	2074.341
31397_at	24.641	24.16	25.757	25.389	25.96	25.773	20.964	22.605
31398_at	49.136	53.935	45.068	46.696	52.535	52.709	50.79	47.672
31399_at	107.734	98.851	100.411	104.34	110.395	111.407	100.134	111
31400_at	28.977	24.205	32.022	24.101	37.729	26.432	32.371	28.564
31401_r_at	41.129	46.357	43.291	55.886	42.59	39.758	51.702	50.201
31402_at	89.796	82.898	81.471	82.665	86.279	96.158	80.343	98.447
31403_at	43.947	41.106	39.269	43.454	58.899	45.863	38.485	46.345
31404_at	82.106	87.672	89.972	84.974	89.436	85.31	86.368	86.66
31405_at	402.125	360.278	403.342	316.178	417.265	423.299	416.187	400.233
31406_at	674.587	675.184	659.95	674.33	715.231	681.396	672.023	696.357
31407_at	10.981	10.854	10.105	11.426	9.149	9.347	7.582	10.087
31408_at	93.693	76.309	76.18	71.561	86.202	78.718	71.635	77.463
31409_at	18.614	17.762	18.083	18.617	22.372	23.046	22.277	20.371
31410_at	213.122	190.052	190.845	174.076	193.622	191.784	185.479	192.14
31411_at	46.72	42.307	39.479	39.85	45.772	44.414	50.732	43.625
31412_at	172.563	167.199	145.503	156.923	105.932	112.29	100.864	114.769
31413_at	101.282	91.406	103.376	85.339	101.486	105.62	104.943	102.635
31414_at	231.043	199.401	199.946	189.548	228.477	227.799	196.85	253.677
31415_at	36.716	39.492	36.584	29.123	33.425	37.547	30.158	39.501
31416_at	27.62	27.683	23.698	30.514	31.329	23.638	23.816	29.801
31417_at	133.601	131.856	119.733	123.533	129.631	130.876	125.794	131.772
31418_at	15.894	15.427	14.043	17.37	10.317	12.714	18.136	12.761
31419_r_at	2359.289	2236.719	2419.824	2329.999	2391.895	2360.319	2031.735	2210.076
31420_at	63.603	61.644	61.78	58.26	61.521	66.887	55.683	64.322
31421_at	96.173	92.464	97.252	85.229	78.06	101.939	89.776	101.405
31422_at	50.702	41.204	39.528	35.768	37.041	44.52	44.549	44.235
31423_at	97.941	108.003	94.616	91.004	95.377	98.889	88.784	81.108
31424_at	291.909	257.798	253.43	242.712	276.32	278.661	269.37	271.496
31425_g_at	72.339	63.827	63.67	65.372	76.021	69.766	74.57	77.383
31426_at	232.808	232.247	199.438	227.39	220.281	229.381	217.688	230.262
31427_at	25.291	23.967	20.133	26.157	21.187	19.995	23.131	25.706
31428_at	51.608	52.988	58.872	54.803	57.062	58.615	57.156	55.637
31429_at	20.556	20.067	24.708	21.985	21.285	29.6	29.952	18.239
31430_at	46.233	40.929	43.967	49.989	53.658	48.441	45.928	53.635
31431_at	159.346	165.243	163.905	170.498	163.308	159.168	165.21	155.798
31432_g_at	390.604	396.976	369.442	391.115	375.32	367.613	389.246	374.468
31433_at	197.709	167.242	164.853	150.505	158.308	160.853	161.182	174.569
31434_at	137.292	131.026	120.188	119.1	137.209	135.656	109.395	143.593
31435_at	55.057	54.027	50.326	47.839	48.849	59.363	48.597	49.689
31436_s_at	88.292	87.612	80.792	82.58	92.201	89.861	93.748	95.58
31437_r_at	73.898	65.259	67.017	60.79	66.308	68.864	74.333	65.903
31438_s_at	87.327	75.411	80.64	76.754	86.958	84.852	81.497	86.212
31439_f_at	205.175	185.632	182.355	182.696	195.572	190.205	206.229	195.123
31440_at	584.579	548.95	530.025	482.683	582.926	579.924	554.439	571.874
31441_at	72.166	73.446	72.8	71.021	73.628	79.031	71.377	69.071
31442_at	112.896	107.746	103.127	103.138	101.178	111.828	115.051	98.903
31443_at	149.695	150.218	163.485	146.534	156.15	156.142	146.478	155.273
31444_s_at	1881.432	1924.691	1953.142	1929.861	1889.945	1877.936	2087.841	2116.125
31445_at	32.546	25.276	29.624	28.47	27.744	35.033	28.494	30.092
31446_s_at	79.884	76.823	84.49	70.332	79.739	92.593	74.523	90.802
31447_at	44.184	42.321	42.283	37.213	40.115	43.612	43.521	48.292
31448_s_at	25.202	30.364	25.094	28.759	25.919	31.628	28.34	26.116
31449_at	63.711	65.124	59.343	58.65	56.359	60.145	64.312	59.674
31450_s_at	33.374	26.473	28.579	24.258	31.714	36.184	24.533	34.743
31451_at	294.213	280.242	294.223	287.67	327.026	299.751	286.249	301.365
31452_at	84.567	86.156	81.07	82.918	89.387	97.342	85.594	93.698
31453_s_at	41.896	42.079	33.425	36.372	37.401	38.711	38.996	41.42
31454_f_at	43.251	45.441	42.626	39.249	40.808	44.179	45.059	39.228
31455_r_at	14.281	13.304	13.476	12.806	9.83	12.607	9.981	12.543
31456_at	283.084	347.413	354.622	347.045	312.313	330.982	346.976	343.286
31457_at	276.093	249.519	272.802	277.606	292.253	263.629	295.503	258.853
31458_at	203.166	171.364	181.777	161.634	207.092	207.301	171.44	197.54
31459_i_at	49.752	54.732	49.509	58.537	42.506	54.423	57.766	53.887
31460_f_at	56.129	46.462	44.219	50.658	55.914	55.971	55.974	56.48
31461_at	36.992	39.103	35.744	33.974	37.611	41.166	33.103	43.13
31462_f_at	46.123	38.284	37.056	34.18	39.331	36.787	31.488	40.736
31463_s_at	310.487	340.281	311.202	305.821	263.872	277.243	310.081	307.979
31464_at	13.658	15.71	14.361	17.15	14.16	14.751	16.612	15.609
31465_g_at	109.291	98.957	100.345	94.227	102.908	104.352	105.322	110.254
31466_at	179.289	158.963	154.076	141.4	151.235	145.492	153.622	149.57
31467_at	66.786	74.208	66.891	69.213	65.605	67.245	69.871	70.809
31468_f_at	152.178	120.018	128.157	120.229	156.248	140.433	126.065	149.641
31469_s_at	73.668	66.84	66.459	63.736	68.443	65.458	62.813	70.938
31470_at	28.036	23.876	27.88	28.73	24.772	31.134	34.316	27.545
31471_at	246.248	179.351	198.388	192.566	242.739	231.84	181.695	269.435
31472_s_at	68.786	72.409	64.625	62.219	65.175	66.378	60.49	66.45
31473_s_at	45.185	35.583	37.833	35.023	41.646	48.74	47.133	48.347
31474_r_at	47.421	40.719	35.548	38.851	43.116	47.253	36.024	47.035
31475_at	192.895	164.521	163.467	145.891	185.305	175.424	171.574	196.65
31476_g_at	33.585	30.539	29.361	30.74	28.047	34.187	26.828	28.395
31477_at	168.595	164.087	155.3	147.924	142.086	151.611	140.797	157.943
31478_at	9952.789	10093.597	9841.305	9781.738	9741.364	9716.558	9379.974	9637.725
31479_f_at	28.086	22.576	20.471	22.419	22.757	22.697	24.713	28.295
31480_f_at	107.298	93.902	106.474	99.482	113.097	115.463	115.315	119.88
31481_s_at	203.296	251.592	171.453	213.57	176.465	188.759	187.271	173.344
31482_at	4890.837	4870.954	4782.009	4790.123	4896.715	4970.722	4691.402	4769.172
31483_g_at	6541.644	6749.34	6575.174	6566.563	6286.773	6582.192	6275.548	6482.945
31484_at	154.404	138.734	144.38	139.418	139.625	150.855	136.061	157.501
31485_at	91.322	68.929	76.133	62.753	75.658	81.167	75.245	81.048
31486_s_at	21.98	23.154	23.914	24.135	20.997	23.022	24.607	26.679
31487_at	23.255	17.607	20.592	21.655	25.449	23.717	22.29	24.121
31488_s_at	63.651	64.608	52.652	55.812	54.984	62.175	51.203	58.61
31489_at	7.078	3.732	7.31	7.091	2.318	5.496	7.129	7.936
31490_at	184.287	216.464	216.428	224.855	207.594	219.472	218.665	209.05
31491_s_at	62.799	59.718	69.255	68.495	67.108	66.685	79.468	63.649
31492_at	191.671	205.136	180.972	207.746	188.803	181.922	196.98	212.11
31493_s_at	222.601	195.76	188.773	172.657	201.728	220.581	161.915	221.854
31494_at	42.007	42.823	41.558	43.663	43.369	45.111	54.972	53.029
31495_at	55.065	50.968	45.12	48.563	58.964	58.028	52.31	54.548
31496_g_at	40.687	35.477	34.52	30.452	48.266	38.034	38.421	33.968
31497_at	219.18	210.784	205.006	191.795	207.657	200.888	213.758	212.19
31498_f_at	60.426	56.386	61.909	60.168	64.577	58.937	58.395	59.342
31499_s_at	110.352	97.177	88.333	100.457	106.588	105.934	101.659	106.629
31500_at	289.937	248.687	253.659	257.557	263.956	255.507	261.988	272.223
31501_at	67.969	76.505	80.894	92.491	74.821	72.268	91.078	84.079
31502_at	134.701	132.849	141.042	140.114	137.054	129.519	142.594	140.671
31503_at	225.44	191.77	198.342	196.868	207.448	204.693	201.902	223.043
31504_at	791.583	819.47	812.373	800.807	768.291	768.09	850.076	802.887
31505_at	2949.761	3226.765	3230.66	3132.81	3072.283	3115.21	3020.728	3107.414
31506_s_at	119.413	90.412	104.652	87.784	115.194	111.936	110.083	113.538
31507_at	63.016	68.934	64.579	62.534	63.199	65.397	61.512	58.034
31508_at	774.123	883.864	800.547	862.502	805.558	771.564	807.779	748.43
31509_at	2195.602	2397.103	2463.958	2474.661	2312.136	2333.131	2331.21	2320.653
31510_s_at	428.012	476.714	388.616	463.493	428.545	406.103	467.961	434.586
31511_at	3683.042	3719.591	3629.416	3619.626	3585.776	3702.534	3603.461	3901.5
31512_at	55.054	48.221	51.021	46.925	44.963	53.261	49.463	53.652
31513_at	70.49	80.373	79.304	75.351	79.989	80.338	75.341	82.402
31514_at	181.703	175.343	170.301	158.244	155.429	162.896	156.088	176.779
31515_at	172.784	166.121	174.115	161.866	207.977	187.244	170.965	195.724
31516_f_at	55.107	57.618	59.887	54.921	53.961	54.278	56.322	52.71
31517_f_at	24.515	26.782	23.519	27.09	24.735	26.255	26.23	22.98
31518_i_at	28.245	26.073	27.739	27.687	28.918	27.657	29.845	32.708
31519_f_at	38.044	41.14	36.382	39.973	35.842	34.482	30.829	38.956
31520_at	88.99	78.284	76.901	76.842	76.818	80.305	70.887	77.381
31521_f_at	72.583	72.631	69.865	70.67	69.909	71.749	72.181	78.202
31522_f_at	189.729	166.101	170.079	180.647	167.283	187.191	158.084	195.63
31523_f_at	248.471	240.6	250.832	240.061	230.003	249.057	230.319	237.05
31524_f_at	197.635	207.858	212.912	192.734	182.853	199.21	184.371	187.986
31525_s_at	524.605	579.699	544.115	540.447	496.401	515.461	554.399	529.047
31526_f_at	111.688	114.143	102.785	110.232	98.263	105.048	107.968	105.136
31527_at	3036.479	3417.761	3522.191	3628.771	3397.388	3301.685	3288.316	3263.587
31528_f_at	216.473	225.377	225.023	205.717	218.78	225.148	207.097	235.639
31529_at	64.656	66.635	73.129	75.778	71.182	69.904	77.296	74.78
31530_at	192.999	169.384	173.768	161.641	183.043	183.866	169.914	188.777
31531_g_at	164.467	165.949	166.469	150.936	162.976	155.533	158.046	178.288
31532_at	241.65	221.703	212.014	202.087	224.011	217.795	205.399	212.189
31533_s_at	481.671	393.895	454.433	394.316	506.036	484.383	477.602	412.354
31534_at	142.226	117.239	114.715	105.717	122.617	124.659	97.665	132.194
31535_i_at	177.283	146.602	153.362	138.99	184.474	175.54	159.026	181.818
31536_at	450.018	505.445	464.673	487.421	467.649	453.243	511.736	483.095
31537_at	257.384	222.189	207.397	178.694	222.45	214.993	252.867	231.795
31538_at	3978.619	3753.391	3727.863	3731.173	3808.523	3856.602	3479.026	3916.182
31539_r_at	7.848	6.332	5.522	4.574	5.873	3.074	7.079	7.401
31540_at	40.653	43.413	39.391	45.777	51.977	52.135	51.772	54.573
31541_at	31.025	29.255	29.691	30.607	31.905	28.444	33.804	30.948
31542_at	17.289	16.47	18.138	15.849	14.918	18.277	18.748	16.649
31543_at	104.049	109.305	128.757	112.014	151.789	128.287	93.222	132.813
31544_at	179.031	161.474	167.894	148.137	158.84	160.842	156.065	169.166
31545_at	3746.614	3945.775	3724.477	3785.602	3788.761	3741.013	3803.77	3772.673
31546_at	1154.347	1382.05	1321.537	1395.506	1147.811	1160.285	1271.935	1165.346
31547_at	86.761	89.718	85.18	93.055	79.568	80.259	82.711	86.73
31548_at	224.396	206.724	202.837	176.844	208.204	208.779	200.422	215.616
31549_at	49.92	38.968	49.271	39.664	40.147	42.952	42.158	47.387
31550_at	80.177	68.479	78.744	81.299	87.244	83.357	74.182	79.312
31551_at	107.549	108.088	100.163	105.572	102.902	104.311	104.157	104.873
31552_at	23.718	22.59	21.952	21.616	19.338	17.729	20.78	21.217
31553_at	33.339	31.562	34.08	33.064	30.737	31.796	31.573	30.402
31554_at	527.757	456.747	484.315	471.915	464.462	477.81	474.017	419.034
31555_at	99.938	109.698	96.358	80.96	83.416	101.019	75.778	95.692
31556_at	120.963	128.485	119.079	126.211	124.485	130.33	116.907	132.463
31557_at	2897.804	2831.408	2687.61	2739.959	2665.222	2667.453	2824.31	2792.487
31558_at	52.125	51.624	46.504	49.69	48.309	50.028	45.925	46.724
31559_at	298.26	276.576	293.702	244.46	280.42	291.768	258.827	295.939
31560_at	57.634	57.171	47.1	54.356	55.751	55.686	57.309	57.867
31561_at	52.624	61.083	55.675	57.366	58.521	59.291	49.266	54.803
31562_at	114.805	116.331	118.579	114.123	120.388	108.646	115.15	115.879
31563_at	14.62	15.081	14.608	9.734	14.916	16.207	10.954	16.102
31564_at	130.708	113.332	112.469	104.083	121.183	119.2	120.864	129.711
31565_at	104.08	108.296	97.151	101.735	106.799	104.323	90.162	102.773
31566_at	52.507	43.303	44.553	43.678	54.986	56.457	42.764	52.677
31567_at	125.109	93.912	100.174	91.988	98.994	110.415	106.705	113.987
31568_at	2483.26	2697.631	2543.57	2614.29	2432.767	2417.064	2452.65	2466.86
31569_at	162.073	169.734	173.968	168.208	157.154	168.271	162.111	169.689
31570_at	74.826	75.37	71.129	84.76	91.607	79.34	95.808	79.982
31571_at	22.843	17.806	18.396	23.713	23.844	23.269	20.338	23.712
31572_at	144.998	136.995	138.768	133.545	148.099	150.391	124.562	154.487
31573_at	2294.816	2411.274	2452.725	2295.205	2323.345	2349.381	2188.054	2395.966
31574_i_at	51.623	48.662	43.343	44.486	45.742	46.784	45.2	46.916
31575_f_at	102.168	106.661	95.3	97.999	98.795	106.218	103.053	94.699
31576_at	198.852	166.769	188.733	149.291	195.003	190.266	184.194	198.767
31577_at	57.163	52.432	42.318	51.334	41.51	42.667	55.035	38.234
31578_at	49.43	51.236	47.963	44.742	54.968	53.56	47.712	56.1
31579_at	124.754	125.746	119.695	115.388	135.336	142.987	122.045	143.871
31580_at	37.904	33.546	32.957	32.571	35.674	38.312	33.55	27.688
31581_at	89.584	84.288	83.13	86.477	93.665	94.965	95.202	85.801
31582_at	123.179	107.829	117.102	115.902	127.409	126.897	114.722	130.011
